ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, BEHAVIOR, LABEL, TIMESTAMP, PCKT, CHANGE_STATE
0,0.509,-2.545,1.504,23,26.46,-16.56,-28.76,0.500919,-2.60551,1.50759,2,0, 2022-12-15.11:13:17,161,
0,0.511,-2.541,1.5034,23.46,25.77,-17.02,-28.3,0.503858,-2.59758,1.51587,2,0, 2022-12-15.11:13:17,162,
0,0.515,-2.528,1.5008,23.7,25.31,-17.94,-28.3,0.505022,-2.5944,1.51587,2,0, 2022-12-15.11:13:17,165,
0,0.517,-2.525,1.5004,23.23,26.46,-17.48,-28.76,0.506634,-2.5899,1.51587,2,0, 2022-12-15.11:13:17,166,
0,0.521,-2.511,1.5001,24.39,25.77,-18.17,-29.22,0.508658,-2.58425,1.51587,2,0, 2022-12-15.11:13:17,169,
0,0.524,-2.504,1.5006,24.39,26.69,-18.4,-29.68,0.517693,-2.56646,1.50104,2,0, 2022-12-15.11:13:17,171,
0,0.531,-2.483,1.4997,24.85,26,-18.4,-28.76,0.520751,-2.55939,1.50104,2,0, 2022-12-15.11:13:18,176,
0,0.532,-2.48,1.5002,24.16,25.77,-19.09,-29.45,0.526459,-2.54206,1.49803,2,0, 2022-12-15.11:13:18,177,
0,0.538,-2.462,1.507,23.93,27.84,-17.71,-30.37,0.529309,-2.53437,1.49803,2,0, 2022-12-15.11:13:18,181,
0,0.539,-2.459,1.5082,24.62,27.15,-17.02,-29.45,0.52965,-2.53147,1.49803,2,0, 2022-12-15.11:13:18,182,
0,0.543,-2.448,1.5102,26,26.23,-17.94,-29.68,0.532144,-2.52417,1.49803,2,0, 2022-12-15.11:13:18,184,
0,0.545,-2.441,1.5117,26,27.38,-18.86,-29.45,0.534203,-2.51814,1.49803,2,0, 2022-12-15.11:13:18,186,
0,0.547,-2.434,1.5133,26,25.77,-19.09,-29.45,0.549631,-2.48592,1.50234,2,0, 2022-12-15.11:13:18,188,
0,0.549,-2.427,1.5144,25.77,26,-19.09,-29.22,0.554143,-2.47523,1.50234,2,0, 2022-12-15.11:13:18,189,
0,0.551,-2.42,1.5153,25.54,25.77,-19.32,-30.14,0.559767,-2.46189,1.50234,2,0, 2022-12-15.11:13:18,191,
0,0.552,-2.416,1.5157,25.54,27.38,-20.47,-30.14,0.552279,-2.48028,1.50234,2,0, 2022-12-15.11:13:18,192,
0,0.554,-2.413,1.5164,26,27.38,-20.01,-30.37,0.558785,-2.4597,1.50547,2,0, 2022-12-15.11:13:18,193,
0,0.556,-2.405,1.518,27.84,27.84,-19.32,-30.37,0.557955,-2.45924,1.50547,2,0, 2022-12-15.11:13:18,194,
