ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, BEHAVIOR, LABEL, TIMESTAMP, PCKT, CHANGE_STATE
5, -2.081, -0.861, 2.9112, -2.07, -1.61, 4.6, 2.99, -1.97107, -1.01269, 3.05454, 2, 0, 2022-09-12.17:01:06, 246, 1
5, -2.013, -0.87, 2.9412, -21.85, -14.95, 20.24, 21.62, -1.85196, -1.02951, 3.07256, 2, 0, 2022-09-12.17:01:06, 247, 1
5, -1.831, -0.885, 2.967, -40.26, -30.83, 36.81, 40.26, -1.65483, -1.05725, 3.08232, 2, 0, 2022-09-12.17:01:06, 248, 1
5, -1.537, -0.912, 2.9564, -64.88, -46.24, 54.99, 59.13, -1.36323, -1.09025, 3.06387, 2, 0, 2022-09-12.17:01:06, 249, 1
5, -1.131, -0.949, 2.9729, -73.86, -50.85, 67.64, 66.49, -1.02691, -1.11292, 3.09539, 2, 0, 2022-09-12.17:01:07, 250, 1
5, -0.744, -0.972, 2.9853, -65.8, -46.47, 56.14, 60.28, -0.669592, -1.12409, 3.12991, 2, 0, 2022-09-12.17:01:07, 251, 1
5, -0.413, -0.987, 3.0447, -53.61, -39.8, 45.32, 50.16, -0.383077, -1.1207, -3.10384, 2, 0, 2022-09-12.17:01:07, 252, 1
5, -0.167, -0.958, 3.1077, -38.88, -14.95, 33.13, 22.54, -0.217351, -1.07745, -3.04164, 2, 0, 2022-09-12.17:01:07, 253, 1
5, 0.141, -0.869, 3.0607, -14.72, -6.44, 13.34, 9.66, 0.0100981, -1.00604, -3.08537, 2, 0, 2022-09-12.17:01:08, 0, 0
5, 0.185, -0.853, -2.4384, 7.36, 7.36, 6.67, 4.83, 0.0134599, -1.00212, -2.0903, 2, 0, 2022-09-12.17:01:08, 2, 0
5, 0.184, -0.854, -2.1251, 3.91, 4.14, 2.76, 3.91, 0.0134858, -1.00119, -1.86946, 2, 0, 2022-09-12.17:01:08, 3, 0
5, 0.186, -0.854, -1.9473, 2.3, 1.61, 2.53, 1.38, 0.0134591, -1.00101, -1.73313, 2, 0, 2022-09-12.17:01:09, 4, 0
5, 0.186, -0.855, -1.8072, 0, 0, 0, 0, 0.0146269, -1.00207, -1.66734, 2, 0, 2022-09-12.17:01:09, 7, 0
5, 0.186, -0.855, -1.808, 0, 0, 0, 0, 0.0139205, -1.0021, -1.66942, 2, 0, 2022-09-12.17:01:10, 10, 1
5, 0.186, -0.851, -1.7991, -2.76, -2.3, 4.83, 4.37, 0.0163626, -0.979845, -1.64557, 2, 0, 2022-09-12.17:01:10, 11, 1
5, 0.257, -0.282, -1.8046, -66.95, -46.47, 57.98, 60.05, 0.0876228, -0.39014, -1.66784, 2, 0, 2022-09-12.17:01:11, 14, 1
5, 0.381, 0.843, -1.718, -54.99, -39.11, 47.4, 50.85, 0.120895, 0.667328, -1.53637, 2, 0, 2022-09-12.17:01:11, 17, 1
5, 0.347, 1.095, -1.5938, -38.88, -12.19, 34.05, 20.47, 0.0745531, 0.823283, -1.43495, 2, 0, 2022-09-12.17:01:12, 18, 1
5, 0.274, 1.365, -1.5537, 5.52, 6.44, 13.8, 15.64, 0.0045463, 1.01928, -0.993547, 2, 0, 2022-09-12.17:01:12, 21, 0
5, 0.275, 1.368, -0.4093, 1.84, 2.53, 2.53, 1.84, 0.00471501, 1.01428, -0.184131, 2, 0, 2022-09-12.17:01:13, 24, 0
5, 0.275, 1.368, -0.3091, 0.46, 0.92, 1.38, 0.92, 0.00457631, 1.01484, -0.0874963, 2, 0, 2022-09-12.17:01:13, 25, 0
5, 0.275, 1.369, -0.2705, 0, 0, -0.23, 0.23, 0.00384916, 1.01426, -0.0980231, 2, 0, 2022-09-12.17:01:14, 28, 0
5, 0.275, 1.369, -0.271, -0.46, 0, 0, -0.23, 0.00491274, 1.01469, -0.0933846, 2, 0, 2022-09-12.17:01:14, 29, 0
5, 0.275, 1.369, -0.2715, 0.46, 0, 0, -0.23, 0.00436712, 1.01468, -0.0910583, 2, 0, 2022-09-12.17:01:14, 31, 0
5, -1.812, 1.58, -0.1287, -19.78, -4.6, 19.32, 9.66, -1.93135, 1.04339, 0.080027, 2, 0, 2022-09-12.17:01:16, 42, 1
5, -1.958, 1.52, 0.8379, 5.06, 4.6, 4.6, 4.37, -2.01046, 1.00017, 1.22699, 2, 0, 2022-09-12.17:01:17, 46, 0
5, -1.959, 1.52, 1.0435, 2.99, 2.07, 2.3, 2.53, -2.01087, 1.0004, 1.35985, 2, 0, 2022-09-12.17:01:17, 47, 0
5, -1.958, 1.52, 1.2406, 0, 0, 0, 0.23, -2.00973, 0.999145, 1.46823, 2, 0, 2022-09-12.17:01:18, 49, 1
5, -1.959, 1.51, 1.2663, -6.67, -4.6, 8.74, 7.13, -2.01355, 0.956751, 1.50639, 2, 0, 2022-09-12.17:01:18, 50, 1
5, -2.087, 0.889, 1.2791, -64.65, -46.7, 55.68, 61.43, -2.10334, 0.239414, 1.50374, 2, 0, 2022-09-12.17:01:19, 53, 1
5, -2.17, 0.477, 1.2764, -80.07, -54.53, 66.72, 69.94, -2.13359, -0.0716438, 1.52616, 2, 0, 2022-09-12.17:01:19, 54, 1
