ID, ROBOT_X, ROBOT_Y, ROBOT_W, ROBOT_M1, ROBOT_M2, ROBOT_M3, ROBOT_M4, VISION_X, VISION_Y, VISION_W, BEHAVIOR, LABEL, TIMESTAMP, PCKT, CHANGE_STATE
5, -2.005, -0.982, -0.0433, 1.84, 2.3, -0.92, -1.38, -2.00609, -0.981884, -0.0380211, 2, 0, 2022-09-05.19:00:23, 158, 1
5, -2.004, -0.982, -0.0428, 1.61, 2.3, -0.92, -2.3, -2.00592, -0.981728, -0.0380211, 2, 0, 2022-09-05.19:00:23, 160, 1
5, -2.004, -0.982, -0.0412, 3.22, 2.53, -0.92, -1.61, -2.00573, -0.981629, -0.0380211, 2, 0, 2022-09-05.19:00:23, 162, 1
5, -2.003, -0.982, -0.0392, 3.45, 2.99, -2.07, -2.53, -2.0068, -0.981652, -0.0435853, 2, 0, 2022-09-05.19:00:23, 164, 1
5, -2.002, -0.982, -0.0387, 3.22, 3.22, -2.07, -3.22, -2.0071, -0.981671, -0.0435853, 2, 0, 2022-09-05.19:00:23, 165, 1
5, -2.001, -0.982, -0.0377, 4.83, 4.37, -2.53, -3.68, -2.00724, -0.981635, -0.0435853, 2, 0, 2022-09-05.19:00:23, 167, 1
5, -1.999, -0.982, -0.0366, 6.44, 4.14, -3.45, -4.83, -2.00721, -0.981689, -0.0417192, 2, 0, 2022-09-05.19:00:23, 169, 1
5, -1.997, -0.982, -0.0363, 8.05, 4.6, -4.14, -5.75, -2.00732, -0.981674, -0.0417192, 2, 0, 2022-09-05.19:00:23, 171, 1
5, -1.997, -0.982, -0.0365, 7.82, 4.83, -5.29, -6.21, -2.00724, -0.981708, -0.0417192, 2, 0, 2022-09-05.19:00:23, 172, 1
5, -1.993, -0.982, -0.0364, 8.28, 5.98, -5.98, -7.36, -2.00731, -0.981705, -0.0417192, 2, 0, 2022-09-05.19:00:23, 174, 1
5, -1.991, -0.982, -0.0364, 10.12, 6.9, -5.98, -8.28, -2.00553, -0.981941, -0.0367228, 2, 0, 2022-09-05.19:00:23, 176, 1
5, -1.988, -0.982, -0.0371, 8.51, 7.59, -6.9, -9.89, -2.00509, -0.982004, -0.0367228, 2, 0, 2022-09-05.19:00:23, 178, 1
5, -1.986, -0.982, -0.0366, 10.12, 9.43, -7.82, -11.5, -2.00473, -0.98205, -0.0367228, 2, 0, 2022-09-05.19:00:23, 179, 1
5, -1.979, -0.983, -0.0377, 13.8, 8.74, -8.74, -11.27, -2.00267, -0.982187, -0.0355684, 2, 0, 2022-09-05.19:00:23, 183, 1
5, -1.974, -0.983, -0.0379, 13.11, 9.66, -11.27, -11.96, -2.00251, -0.982175, -0.0355684, 2, 0, 2022-09-05.19:00:23, 185, 1
5, -1.969, -0.982, -0.0365, 15.41, 12.88, -13.57, -14.03, -2.00194, -0.982218, -0.0355684, 2, 0, 2022-09-05.19:00:23, 187, 1
5, -1.963, -0.982, -0.0367, 16.79, 12.88, -12.19, -15.87, -1.99844, -0.98365, -0.0344508, 2, 0, 2022-09-05.19:00:23, 189, 1
5, -1.958, -0.982, -0.0378, 18.17, 12.65, -13.8, -17.71, -1.99731, -0.984003, -0.0344508, 2, 0, 2022-09-05.19:00:23, 191, 1
5, -1.955, -0.982, -0.0383, 18.86, 14.26, -15.64, -17.02, -1.99655, -0.984379, -0.0344508, 2, 0, 2022-09-05.19:00:23, 192, 1
5, -1.947, -0.982, -0.0401, 20.7, 16.33, -18.17, -18.63, -1.99555, -0.98472, -0.0344508, 2, 0, 2022-09-05.19:00:23, 194, 1
5, -1.941, -0.982, -0.0412, 22.77, 16.1, -16.56, -20.01, -1.98172, -0.985962, -0.0354306, 2, 0, 2022-09-05.19:00:23, 196, 1
5, -1.935, -0.982, -0.0445, 25.77, 16.1, -19.32, -20.47, -1.978, -0.986482, -0.0354306, 2, 0, 2022-09-05.19:00:23, 198, 1
5, -1.929, -0.981, -0.0491, 26.92, 16.56, -20.47, -20.93, -1.97475, -0.986653, -0.0354306, 2, 0, 2022-09-05.19:00:23, 199, 1
5, -1.922, -0.981, -0.0545, 28.3, 17.48, -22.08, -22.54, -1.97048, -0.987178, -0.0354306, 2, 0, 2022-09-05.19:00:23, 201, 1
5, -1.914, -0.98, -0.0597, 27.38, 18.17, -22.77, -24.16, -1.96381, -0.987465, -0.0439271, 2, 0, 2022-09-05.19:00:23, 203, 1
