ID," ROBOT_X"," ROBOT_Y"," ANGLE"
5," 0.775139"," -0.890953"," -0.51025"
5," 0.786363"," -0.891773"," -0.48581"
5," 0.798833"," -0.891473"," -0.48581"
5," 0.814739"," -0.890831"," -0.443466"
5," 0.827587"," -0.890432"," -0.443466"
5," 0.842411"," -0.889025"," -0.414909"
5," 0.855343"," -0.888295"," -0.414909"
5," 0.870822"," -0.888767"," -0.379471"
5," 0.884403"," -0.888478"," -0.379471"
5," 0.89888"," -0.888912"," -0.347802"
5," 0.913988"," -0.88888"," -0.347802"
5," 0.925505"," -0.888947"," -0.310376"
5," 0.940116"," -0.888953"," -0.310376"
5," 0.95396"," -0.888181"," -0.291087"
5," 0.968736"," -0.887884"," -0.291087"
5," 0.98395"," -0.888377"," -0.265608"
5," 0.999475"," -0.888379"," -0.265608"
5," 1.01302"," -0.889303"," -0.252093"
5," 1.02896"," -0.889674"," -0.252093"
5," 1.04378"," -0.88954"," -0.225814"
5," 1.05949"," -0.889722"," -0.225814"
5," 1.07203"," -0.889783"," -0.218444"
5," 1.08473"," -0.889903"," -0.218444"
5," 1.10414"," -0.888801"," -0.202161"
5," 1.11864"," -0.888503"," -0.202161"
5," 1.1321"," -0.891575"," -0.190793"
5," 1.1472"," -0.892528"," -0.190793"
5," 1.1627"," -0.893546"," -0.165135"
5," 1.17917"," -0.894602"," -0.165135"
5," 1.19242"," -0.894042"," -0.165411"
5," 1.20828"," -0.894509"," -0.165411"
5," 1.22434"," -0.897016"," -0.150557"
5," 1.2391"," -0.898149"," -0.150557"
5," 1.25545"," -0.901462"," -0.137896"
5," 1.26986"," -0.903256"," -0.137896"
5," 1.28518"," -0.903118"," -0.136414"
5," 1.29854"," -0.904135"," -0.136414"
5," 1.31614"," -0.903349"," -0.134234"
5," 1.33221"," -0.903787"," -0.134234"
5," 1.34701"," -0.903469"," -0.1218"
5," 1.3634"," -0.903645"," -0.1218"
5," 1.38105"," -0.899538"," -0.119206"
5," 1.39564"," -0.898364"," -0.119206"
5," 1.40888"," -0.898399"," -0.116357"
5," 1.42267"," -0.897642"," -0.116357"
5," 1.44034"," -0.894678"," -0.0958725"
5," 1.45456"," -0.893255"," -0.0958725"
5," 1.47218"," -0.890116"," -0.0921513"
5," 1.48684"," -0.888206"," -0.0921513"
5," 1.49993"," -0.889241"," -0.0844028"
5," 1.51591"," -0.888184"," -0.0844028"
5," 1.54199"," -0.907695"," -0.0748637"
5," 1.56276"," -0.914893"," -0.0748637"
5," 1.57852"," -0.92944"," -0.0785456"
5," 1.59648"," -0.938583"," -0.0785456"
5," 1.60861"," -0.928771"," -0.0896382"
5," 1.63893"," -0.926816"," -0.0757834"
5," 1.65411"," -0.927"," -0.0757834"
5," 1.67022"," -0.927068"," -0.0779917"
5," 1.68828"," -0.92724"," -0.0779917"
5," 1.70228"," -0.931026"," -0.0748709"
5," 1.71758"," -0.932427"," -0.0748709"
5," 1.73541"," -0.935102"," -0.0695618"
5," 1.75084"," -0.936849"," -0.0695618"
5," 1.76831"," -0.938768"," -0.0544025"
5," 1.78637"," -0.940789"," -0.0544025"
5," 1.80168"," -0.943519"," -0.0585071"
5," 1.81765"," -0.945648"," -0.0585071"
5," 1.83168"," -0.947368"," -0.0553563"
5," 1.84601"," -0.94923"," -0.0553563"
5," 1.86435"," -0.950828"," -0.0411885"
5," 1.87985"," -0.952573"," -0.0411885"
5," 1.90175"," -0.97162"," -0.0480371"
5," 1.91932"," -0.97934"," -0.0480371"
5," 1.94066"," -0.991909"," -0.0503504"
5," 1.9595"," -1.00109"," -0.0503504"
5," 1.97151"," -0.995328"," -0.0363559"
5," 1.98729"," -0.999339"," -0.0363559"
5," 1.99911"," -0.99268"," -0.0558486"
5," 2.00771"," -0.993036"," -0.0558486"
5," 2.02053"," -0.991675"," -0.0666292"
5," 2.03505"," -0.991626"," -0.0666292"
5," 2.04834"," -0.992852"," -0.0660752"
5," 2.06335"," -0.99329"," -0.0660752"
5," 2.07594"," -0.992623"," -0.0532041"
