5," 1.02"," -0.739"," -0.153"
5," 1.02"," -0.739"," -0.153"
5," 1.02"," -0.739"," -0.153"
5," 1.008"," -0.735"," -0.1513"
5," 0.996"," -0.739"," -0.4742"
5," 0.989"," -0.738"," -0.7559"
5," 0.978"," -0.733"," -1.0464"
5," 0.964"," -0.729"," -1.272"
5," 0.947"," -0.726"," -1.4755"
5," 0.879"," -0.716"," -1.9588"
5," 0.85"," -0.713"," -2.095"
5," 0.822"," -0.711"," -2.205"
5," 0.792"," -0.71"," -2.3004"
5," 0.763"," -0.709"," -2.387"
5," 0.733"," -0.708"," -2.4618"
5," 0.703"," -0.708"," -2.5303"
5," 0.671"," -0.708"," -2.5957"
5," 0.642"," -0.709"," -2.647"
5," 0.613"," -0.709"," -2.6941"
5," 0.586"," -0.711"," -2.732"
5," 0.559"," -0.713"," -2.7661"
5," 0.505"," -0.717"," -2.8235"
5," 0.481"," -0.72"," -2.8448"
5," 0.457"," -0.722"," -2.8654"
5," 0.435"," -0.725"," -2.8814"
5," 0.413"," -0.727"," -2.8955"
5," 0.39"," -0.729"," -2.9112"
5," 0.371"," -0.731"," -2.9232"
5," 0.354"," -0.728"," -2.9588"
5," 0.364"," -0.723"," -2.7414"
5," 0.368"," -0.725"," -2.4738"
5," 0.375"," -0.723"," -2.1978"
5," 0.385"," -0.718"," -1.9248"
5," 0.398"," -0.713"," -1.7142"
5," 0.416"," -0.708"," -1.5203"
5," 0.438"," -0.702"," -1.3407"
5," 0.463"," -0.697"," -1.1903"
5," 0.491"," -0.691"," -1.0532"
5," 0.525"," -0.686"," -0.9199"
5," 0.557"," -0.68"," -0.8112"
5," 0.591"," -0.673"," -0.7121"
5," 0.626"," -0.667"," -0.6278"
5," 0.663"," -0.661"," -0.5447"
5," 0.702"," -0.654"," -0.4764"
5," 0.744"," -0.647"," -0.4112"
5," 0.785"," -0.641"," -0.3549"
5," 0.827"," -0.635"," -0.3049"
5," 0.87"," -0.629"," -0.2624"
5," 0.913"," -0.624"," -0.2249"
5," 1.009"," -0.615"," -0.1632"
5," 1.056"," -0.612"," -0.1404"
5," 1.15"," -0.607"," -0.1052"
5," 1.198"," -0.605"," -0.091"
5," 1.348"," -0.603"," -0.0614"
5," 1.396"," -0.603"," -0.0575"
5," 1.445"," -0.602"," -0.0493"
5," 1.495"," -0.601"," -0.046"
5," 1.65"," -0.606"," -0.0413"
5," 1.7"," -0.608"," -0.0408"
5," 1.804"," -0.612"," -0.0376"
5," 1.853"," -0.614"," -0.0367"
5," 1.9"," -0.616"," -0.0348"
5," 1.987"," -0.619"," -0.044"
5," 2.027"," -0.62"," -0.0467"
5," 2.068"," -0.619"," -0.0436"
5," 2.103"," -0.618"," -0.0347"
5," 2.136"," -0.617"," -0.021"
5," 2.167"," -0.616"," -0.0141"
5," 2.197"," -0.617"," -0.0122"
5," 2.226"," -0.617"," -0.012"
5," 2.255"," -0.617"," -0.012"
5," 2.281"," -0.618"," -0.0131"
5," 2.306"," -0.618"," -0.0144"
5," 2.33"," -0.618"," -0.0127"
5," 2.353"," -0.618"," -0.0121"
5," 2.378"," -0.619"," -0.012"
5," 2.398"," -0.619"," -0.0125"
5," 2.418"," -0.619"," -0.0085"
5," 2.437"," -0.609"," 0.1668"
5," 2.435"," -0.582"," 0.3049"
5," 2.429"," -0.552"," 0.4663"
5," 2.424"," -0.522"," 0.5911"
5," 2.423"," -0.488"," 0.6864"
5," 2.425"," -0.45"," 0.7649"
5," 2.429"," -0.413"," 0.8337"
5," 2.432"," -0.373"," 0.9057"
5," 2.433"," -0.328"," 0.9757"
5," 2.434"," -0.286"," 1.0329"
5," 2.436"," -0.245"," 1.0813"
5," 2.438"," -0.202"," 1.1197"
5," 2.442"," -0.154"," 1.1592"
5," 2.445"," -0.108"," 1.1924"
5," 2.45"," -0.063"," 1.2201"
5," 2.454"," -0.017"," 1.2448"
5," 2.46"," 0.028"," 1.2644"
5," 2.466"," 0.075"," 1.2823"
5," 2.473"," 0.128"," 1.2989"
5," 2.48"," 0.176"," 1.3116"
5," 2.487"," 0.224"," 1.3231"
5," 2.495"," 0.272"," 1.3318"
5," 2.503"," 0.32"," 1.3359"
5," 2.513"," 0.373"," 1.3454"
5," 2.522"," 0.421"," 1.3493"
5," 2.532"," 0.47"," 1.3509"
5," 2.565"," 0.616"," 1.352"
5," 2.577"," 0.671"," 1.3506"
5," 2.588"," 0.72"," 1.3493"
5," 2.6"," 0.769"," 1.3496"
5," 2.612"," 0.818"," 1.3487"
5," 2.636"," 0.919"," 1.3433"
5," 2.648"," 0.968"," 1.3417"
5," 2.659"," 1.017"," 1.3405"
5," 2.671"," 1.066"," 1.339"
5," 2.683"," 1.115"," 1.3382"
5," 2.695"," 1.164"," 1.3375"
5," 2.721"," 1.264"," 1.334"
5," 2.732"," 1.308"," 1.3321"
5," 2.743"," 1.35"," 1.3304"
5," 2.753"," 1.39"," 1.331"
5," 2.763"," 1.428"," 1.3269"
5," 2.773"," 1.467"," 1.323"
5," 2.783"," 1.501"," 1.325"
5," 2.791"," 1.533"," 1.3187"
5," 2.8"," 1.563"," 1.3155"
5," 2.808"," 1.593"," 1.3116"
5," 2.816"," 1.624"," 1.311"
5," 2.823"," 1.65"," 1.3109"
5," 2.83"," 1.675"," 1.3094"
5," 2.837"," 1.699"," 1.3089"
5," 2.843"," 1.722"," 1.3081"
5," 2.848"," 1.744"," 1.3084"
5," 2.855"," 1.766"," 1.3065"
5," 2.86"," 1.786"," 1.3037"
5," 2.865"," 1.805"," 1.3055"
5," 2.87"," 1.822"," 1.3113"
5," 2.848"," 1.821"," 1.4965"
5," 2.826"," 1.823"," 1.6571"
5," 2.797"," 1.82"," 1.8363"
5," 2.769"," 1.817"," 1.9617"
5," 2.736"," 1.819"," 2.0715"
5," 2.701"," 1.822"," 2.1685"
5," 2.664"," 1.827"," 2.255"
5," 2.624"," 1.83"," 2.3409"
5," 2.585"," 1.834"," 2.4074"
5," 2.545"," 1.838"," 2.4691"
5," 2.504"," 1.843"," 2.5232"
5," 2.462"," 1.848"," 2.5722"
5," 2.419"," 1.854"," 2.6142"
5," 2.37"," 1.861"," 2.656"
5," 2.326"," 1.868"," 2.6886"
5," 2.281"," 1.876"," 2.7141"
5," 2.235"," 1.885"," 2.7396"
5," 2.189"," 1.893"," 2.7612"
5," 2.143"," 1.903"," 2.7768"
5," 2.096"," 1.913"," 2.791"
5," 2.046"," 1.925"," 2.8058"
5," 1.999"," 1.935"," 2.8167"
